Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_0205100	PF3D7_0205100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0205100
PF3D7_0205200	PF3D7_0205200.1	MORN repeat protein, putative	protein coding gene	PF3D7_0205200
PF3D7_0205300	PF3D7_0205300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0205300
PF3D7_0205400	PF3D7_0205400.1	PCI domain-containing protein, putative	protein coding gene	PF3D7_0205400
PF3D7_0205500	PF3D7_0205500.1	DNA-directed RNA polymerase II 16 kDa subunit, putative	protein coding gene	PF3D7_0205500
PF3D7_0205600	PF3D7_0205600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0205600
PF3D7_0205700	PF3D7_0205700.1	RNA-binding protein, putative	protein coding gene	PF3D7_0205700
PF3D7_0205700	PF3D7_0205700.2	RNA-binding protein, putative	protein coding gene	PF3D7_0205700
PF3D7_0205800	PF3D7_0205800.1	PH domain-containing protein, putative	protein coding gene	PF3D7_0205800
PF3D7_0205900	PF3D7_0205900.1	26S proteasome regulatory subunit RPN1, putative	protein coding gene	PF3D7_0205900
PF3D7_0206000	PF3D7_0206000.1	DNA repair protein RAD2, putative	protein coding gene	PF3D7_0206000
PF3D7_0206100	PF3D7_0206100.1	cysteine desulfuration protein SufE	protein coding gene	PF3D7_0206100
PF3D7_0206200	PF3D7_0206200.1	pantothenate transporter	protein coding gene	PF3D7_0206200
PF3D7_0206300	PF3D7_0206300.1	pentafunctional AROM polypeptide, putative, pseudogene	pseudogene	PF3D7_0206300
PF3D7_0206500	PF3D7_0206500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0206500
PF3D7_0206600	PF3D7_0206600.1	DNA-directed RNA polymerase III subunit RPC10, putative	protein coding gene	PF3D7_0206600
PF3D7_0206700	PF3D7_0206700.1	adenylosuccinate lyase	protein coding gene	PF3D7_0206700
PF3D7_0206800	PF3D7_0206800.1	merozoite surface protein 2	protein coding gene	PF3D7_0206800
PF3D7_0206900	PF3D7_0206900.1	merozoite surface protein 5	protein coding gene	PF3D7_0206900
PF3D7_0206900	PF3D7_0206900.2	merozoite surface protein 5	protein coding gene	PF3D7_0206900
PF3D7_0207000	PF3D7_0207000.1	merozoite surface protein 4	protein coding gene	PF3D7_0207000
PF3D7_0207100	PF3D7_0207100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0207100
PF3D7_0207200	PF3D7_0207200.1	iron-sulfur assembly protein, putative	protein coding gene	PF3D7_0207200
PF3D7_0207300	PF3D7_0207300.1	serine repeat antigen 8	protein coding gene	PF3D7_0207300
PF3D7_0207400	PF3D7_0207400.1	serine repeat antigen 7	protein coding gene	PF3D7_0207400
PF3D7_0207500	PF3D7_0207500.1	serine repeat antigen 6	protein coding gene	PF3D7_0207500
PF3D7_0207600	PF3D7_0207600.1	serine repeat antigen 5	protein coding gene	PF3D7_0207600
PF3D7_0207700	PF3D7_0207700.1	serine repeat antigen 4	protein coding gene	PF3D7_0207700
PF3D7_0207800	PF3D7_0207800.1	serine repeat antigen 3	protein coding gene	PF3D7_0207800
PF3D7_0207900	PF3D7_0207900.1	serine repeat antigen 2	protein coding gene	PF3D7_0207900
PF3D7_0208000	PF3D7_0208000.1	serine repeat antigen 1	protein coding gene	PF3D7_0208000
PF3D7_0208100	PF3D7_0208100.1	C2 domain-containing protein 5, putative	protein coding gene	PF3D7_0208100
PF3D7_0208200	PF3D7_0208200.1	KRR1 small subunit processome component, putative	protein coding gene	PF3D7_0208200
PF3D7_0208300	PF3D7_0208300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0208300
PF3D7_0208400	PF3D7_0208400.1	histidine phosphatase, putative	protein coding gene	PF3D7_0208400
PF3D7_0208500	PF3D7_0208500.1	acyl carrier protein	protein coding gene	PF3D7_0208500
PF3D7_0208600	PF3D7_0208600.1	ribosome-recycling factor	protein coding gene	PF3D7_0208600
PF3D7_0208700	PF3D7_0208700.1	SHS2 domain-containing protein, putative	protein coding gene	PF3D7_0208700
PF3D7_0208800	PF3D7_0208800.1	protein P22, putative	protein coding gene	PF3D7_0208800
PF3D7_0208900	PF3D7_0208900.1	6-cysteine protein P230p	protein coding gene	PF3D7_0208900
PF3D7_0209000	PF3D7_0209000.1	6-cysteine protein P230	protein coding gene	PF3D7_0209000
PF3D7_0209100	PF3D7_0209100.1	patatin-like phospholipase 1	protein coding gene	PF3D7_0209100
PF3D7_0209200	PF3D7_0209200.1	exosome complex component MTR3, putative	protein coding gene	PF3D7_0209200
PF3D7_0209300	PF3D7_0209300.1	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	protein coding gene	PF3D7_0209300
PF3D7_0209400	PF3D7_0209400.1	ARMT1-like domain-containing protein, putative	protein coding gene	PF3D7_0209400
PF3D7_0209500	PF3D7_0209500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0209500
PF3D7_0209600	PF3D7_0209600.1	transporter, putative	protein coding gene	PF3D7_0209600
PF3D7_0209700	PF3D7_0209700.1	RING zinc finger protein, putative	protein coding gene	PF3D7_0209700
PF3D7_0209800	PF3D7_0209800.1	ATP-dependent RNA helicase UAP56	protein coding gene	PF3D7_0209800
PF3D7_0209900	PF3D7_0209900.1	non-coding RNA	ncRNA gene	PF3D7_0209900
