Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_1248500	PF3D7_1248500.1	bax inhibitor 1, putative	protein coding gene	PF3D7_1248500
PF3D7_1248600	PF3D7_1248600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1248600
PF3D7_1248700	PF3D7_1248700.1	conserved protein, unknown function	protein coding gene	PF3D7_1248700
PF3D7_1248800	PF3D7_1248800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1248800
PF3D7_1248900	PF3D7_1248900.1	26S protease regulatory subunit 8, putative	protein coding gene	PF3D7_1248900
PF3D7_1249000	PF3D7_1249000.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_1249000
PF3D7_1249100	PF3D7_1249100.1	THUMP domain-containing protein, putative	protein coding gene	PF3D7_1249100
PF3D7_1249200	PF3D7_1249200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1249200
PF3D7_1249300	PF3D7_1249300.1	protein phosphatase PPM4, putative	protein coding gene	PF3D7_1249300
PF3D7_1249400	PF3D7_1249400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1249400
PF3D7_1249500	PF3D7_1249500.1	protein CutA, putative	protein coding gene	PF3D7_1249500
PF3D7_1249600	PF3D7_1249600.1	leucine-rich repeat protein	protein coding gene	PF3D7_1249600
PF3D7_1249700	PF3D7_1249700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1249700
PF3D7_1249800	PF3D7_1249800.1	THO complex subunit 2, putative	protein coding gene	PF3D7_1249800
PF3D7_1249900	PF3D7_1249900.1	ribosomal RNA small subunit methyltransferase A2, putative	protein coding gene	PF3D7_1249900
PF3D7_1250000	PF3D7_1250000.1	rRNA-processing protein FCF2, putative	protein coding gene	PF3D7_1250000
PF3D7_1250100	PF3D7_1250100.1	osmiophilic body protein G377	protein coding gene	PF3D7_1250100
PF3D7_1250200	PF3D7_1250200.1	CSC1-like protein, putative	protein coding gene	PF3D7_1250200
PF3D7_1250300	PF3D7_1250300.1	vacuolar protein sorting-associated protein 26, putative	protein coding gene	PF3D7_1250300
PF3D7_1250400	PF3D7_1250400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1250400
PF3D7_1250500	PF3D7_1250500.1	AP-3 complex subunit sigma, putative	protein coding gene	PF3D7_1250500
PF3D7_1250600	PF3D7_1250600.1	translation initiation factor eIF-2B subunit beta, putative	protein coding gene	PF3D7_1250600
PF3D7_1250700	PF3D7_1250700.1	transcription initiation factor IIA subunit 2, putative	protein coding gene	PF3D7_1250700
PF3D7_1250800	PF3D7_1250800.1	DNA repair protein rhp16, putative	protein coding gene	PF3D7_1250800
PF3D7_1250900	PF3D7_1250900.1	conserved protein, unknown function	protein coding gene	PF3D7_1250900
PF3D7_1251000	PF3D7_1251000.1	HSP20-like chaperone, putative	protein coding gene	PF3D7_1251000
PF3D7_1251100	PF3D7_1251100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1251100
PF3D7_1251200	PF3D7_1251200.1	coronin	protein coding gene	PF3D7_1251200
PF3D7_1251300	PF3D7_1251300.1	thymidylate kinase	protein coding gene	PF3D7_1251300
PF3D7_1251400	PF3D7_1251400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1251400
PF3D7_1251500	PF3D7_1251500.1	ATP-dependent RNA helicase DRS1, putative	protein coding gene	PF3D7_1251500
PF3D7_1251600	PF3D7_1251600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1251600
PF3D7_1251700	PF3D7_1251700.1	tryptophan--tRNA ligase	protein coding gene	PF3D7_1251700
PF3D7_1251800	PF3D7_1251800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1251800
PF3D7_1252100	PF3D7_1252100.1	rhoptry neck protein 3	protein coding gene	PF3D7_1252100
PF3D7_1252200	PF3D7_1252200.1	chitinase	protein coding gene	PF3D7_1252200
PF3D7_1252300	PF3D7_1252300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1252300
PF3D7_1252400	PF3D7_1252400.1	reticulocyte binding protein homologue 3, pseudogene	pseudogene	PF3D7_1252400
PF3D7_1252500	PF3D7_1252500.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_1252500
PF3D7_1252600	PF3D7_1252600.1	esterase, putative	protein coding gene	PF3D7_1252600
PF3D7_1252700	PF3D7_1252700.1	Plasmodium exported protein (PHISTb), unknown function	protein coding gene	PF3D7_1252700
PF3D7_1252800	PF3D7_1252800.1	Plasmodium exported protein (PHISTb), unknown function	protein coding gene	PF3D7_1252800
PF3D7_1252900	PF3D7_1252900.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_1252900
PF3D7_1253000	PF3D7_1253000.1	gametocyte erythrocyte cytosolic protein	protein coding gene	PF3D7_1253000
PF3D7_1253100	PF3D7_1253100.1	Plasmodium exported protein (PHISTa), unknown function	protein coding gene	PF3D7_1253100
PF3D7_1253200	PF3D7_1253200.1	hypothetical protein	protein coding gene	PF3D7_1253200
PF3D7_1253300	PF3D7_1253300.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	pseudogene	PF3D7_1253300
PF3D7_1253400	PF3D7_1253400.1	acyl-CoA synthetase	protein coding gene	PF3D7_1253400
PF3D7_1253500	PF3D7_1253500.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_1253500
PF3D7_1253600	PF3D7_1253600.1	rifin, pseudogene	pseudogene	PF3D7_1253600
PF3D7_1253700	PF3D7_1253700.1	rifin	protein coding gene	PF3D7_1253700
PF3D7_1253800	PF3D7_1253800.1	Plasmodium exported protein (PHISTa), unknown function	protein coding gene	PF3D7_1253800
PF3D7_1253900	PF3D7_1253900.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	pseudogene	PF3D7_1253900
PF3D7_1254000	PF3D7_1254000.1	rifin	protein coding gene	PF3D7_1254000
PF3D7_1254100	PF3D7_1254100.1	stevor	protein coding gene	PF3D7_1254100
PF3D7_1254200	PF3D7_1254200.1	rifin	protein coding gene	PF3D7_1254200
PF3D7_1254300	PF3D7_1254300.1	stevor	protein coding gene	PF3D7_1254300
PF3D7_1254400	PF3D7_1254400.1	rifin	protein coding gene	PF3D7_1254400
PF3D7_1254500	PF3D7_1254500.1	rifin	protein coding gene	PF3D7_1254500
PF3D7_1254600	PF3D7_1254600.1	stevor	protein coding gene	PF3D7_1254600
PF3D7_1254700	PF3D7_1254700.1	rifin	protein coding gene	PF3D7_1254700
PF3D7_1254800	PF3D7_1254800.1	rifin	protein coding gene	PF3D7_1254800
PF3D7_1254900	PF3D7_1254900.1	Plasmodium exported protein, unknown function, fragment	protein coding gene	PF3D7_1254900
PF3D7_1255000	PF3D7_1255000.1	rifin	protein coding gene	PF3D7_1255000
PF3D7_1255100	PF3D7_1255100.1	rifin	protein coding gene	PF3D7_1255100
PF3D7_1255200	PF3D7_1255200.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_1255200
PF3D7_1300100	PF3D7_1300100.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_1300100
PF3D7_1300200	PF3D7_1300200.1	rifin	protein coding gene	PF3D7_1300200
PF3D7_1300300	PF3D7_1300300.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_1300300
PF3D7_1300400	PF3D7_1300400.1	rifin	protein coding gene	PF3D7_1300400
PF3D7_1300500	PF3D7_1300500.1	rifin	protein coding gene	PF3D7_1300500
PF3D7_1300600	PF3D7_1300600.1	rifin	protein coding gene	PF3D7_1300600
PF3D7_1300700	PF3D7_1300700.1	rifin	protein coding gene	PF3D7_1300700
PF3D7_1300800	PF3D7_1300800.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	pseudogene	PF3D7_1300800
PF3D7_1300900	PF3D7_1300900.1	stevor	protein coding gene	PF3D7_1300900
PF3D7_1301000	PF3D7_1301000.1	rifin, pseudogene	pseudogene	PF3D7_1301000
PF3D7_1301100	PF3D7_1301100.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	pseudogene	PF3D7_1301100
PF3D7_1301200	PF3D7_1301200.1	GBPH2 protein	protein coding gene	PF3D7_1301200
PF3D7_1301300	PF3D7_1301300.1	Plasmodium exported protein (PHISTa-like), unknown function, pseudogene	pseudogene	PF3D7_1301300
PF3D7_1301400	PF3D7_1301400.1	Plasmodium exported protein (hyp12), unknown function	protein coding gene	PF3D7_1301400
PF3D7_1301500	PF3D7_1301500.1	Plasmodium exported protein (PHISTa), unknown function	protein coding gene	PF3D7_1301500
PF3D7_1301600	PF3D7_1301600.1	erythrocyte binding antigen-140	protein coding gene	PF3D7_1301600
PF3D7_1301700	PF3D7_1301700.1	CX3CL1-binding protein 2	protein coding gene	PF3D7_1301700
PF3D7_1301800	PF3D7_1301800.1	surface-associated interspersed protein 13.1 (SURFIN 13.1), pseudogene	pseudogene	PF3D7_1301800
PF3D7_1301900	PF3D7_1301900.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_1301900
PF3D7_1302000	PF3D7_1302000.1	EMP1-trafficking protein	protein coding gene	PF3D7_1302000
PF3D7_1302050	PF3D7_1302050.1	hypothetical protein	protein coding gene	PF3D7_1302050
PF3D7_1302100	PF3D7_1302100.1	gamete antigen 27/25	protein coding gene	PF3D7_1302100
PF3D7_1302200	PF3D7_1302200.1	protein UIS3	protein coding gene	PF3D7_1302200
PF3D7_1302300	PF3D7_1302300.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_1302300
PF3D7_1302400	PF3D7_1302400.1	conserved protein, unknown function	protein coding gene	PF3D7_1302400
PF3D7_1302500	PF3D7_1302500.1	AAA domain-containing protein, putative	protein coding gene	PF3D7_1302500
PF3D7_1302600	PF3D7_1302600.1	deoxyhypusine hydroxylase	protein coding gene	PF3D7_1302600
PF3D7_1302700	PF3D7_1302700.1	ATP-dependent RNA helicase DHR1, putative	protein coding gene	PF3D7_1302700
PF3D7_1302800	PF3D7_1302800.1	40S ribosomal protein S7, putative	protein coding gene	PF3D7_1302800
PF3D7_1302900	PF3D7_1302900.1	conserved protein, unknown function	protein coding gene	PF3D7_1302900
PF3D7_1303000	PF3D7_1303000.1	ATP synthase-associated protein, putative	protein coding gene	PF3D7_1303000
PF3D7_1303100	PF3D7_1303100.1	methyltransferase, putative	protein coding gene	PF3D7_1303100
PF3D7_1303200	PF3D7_1303200.1	SNARE protein, putative	protein coding gene	PF3D7_1303200
PF3D7_1303200	PF3D7_1303200.2	SNARE protein, putative	protein coding gene	PF3D7_1303200
PF3D7_1303300	PF3D7_1303300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1303300
PF3D7_1303400	PF3D7_1303400.1	LisH domain-containing protein, putative	protein coding gene	PF3D7_1303400
PF3D7_1303500	PF3D7_1303500.1	sodium/hydrogen exchanger	protein coding gene	PF3D7_1303500
PF3D7_1303600	PF3D7_1303600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1303600
PF3D7_1303700	PF3D7_1303700.1	tetratricopeptide repeat protein, putative	protein coding gene	PF3D7_1303700
PF3D7_1303800	PF3D7_1303800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1303800
PF3D7_1303900	PF3D7_1303900.1	GINS complex subunit Psf3, putative	protein coding gene	PF3D7_1303900
PF3D7_1304000	PF3D7_1304000.1	condensin complex subunit 2, putative	protein coding gene	PF3D7_1304000
PF3D7_1304100	PF3D7_1304100.1	DNA ligase I	protein coding gene	PF3D7_1304100
PF3D7_1304200	PF3D7_1304200.1	CorA-like Mg2+ transporter protein, putative	protein coding gene	PF3D7_1304200
PF3D7_1304200	PF3D7_1304200.2	CorA-like Mg2+ transporter protein, putative	protein coding gene	PF3D7_1304200
PF3D7_1304300	PF3D7_1304300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1304300
PF3D7_1304400	PF3D7_1304400.1	PUB domain-containing protein, putative	protein coding gene	PF3D7_1304400
PF3D7_1304500	PF3D7_1304500.1	small heat shock protein, putative	protein coding gene	PF3D7_1304500
PF3D7_1304600	PF3D7_1304600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1304600
PF3D7_1304700	PF3D7_1304700.1	cyclin	protein coding gene	PF3D7_1304700
PF3D7_1304800	PF3D7_1304800.1	small nucleolar RNA snoR16	ncRNA gene	PF3D7_1304800
PF3D7_1304900	PF3D7_1304900.1	DNA-directed RNA polymerase II subunit RPB11, putative	protein coding gene	PF3D7_1304900
PF3D7_1305000	PF3D7_1305000.1	MCL1 domain-containing protein, putative	protein coding gene	PF3D7_1305000
PF3D7_1305100	PF3D7_1305100.1	protein AMR3	protein coding gene	PF3D7_1305100
PF3D7_1305200	PF3D7_1305200.1	AP2 domain transcription factor, putative	protein coding gene	PF3D7_1305200
PF3D7_1305300	PF3D7_1305300.1	translational activator GCN1, putative	protein coding gene	PF3D7_1305300
PF3D7_1305400	PF3D7_1305400.1	AAR2 protein, putative	protein coding gene	PF3D7_1305400
PF3D7_1305500	PF3D7_1305500.1	mitogen-activated protein kinase phosphatase 1, putative	protein coding gene	PF3D7_1305500
PF3D7_1305600	PF3D7_1305600.1	site-2 protease S2P, putative	protein coding gene	PF3D7_1305600
PF3D7_1305700	PF3D7_1305700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1305700
PF3D7_1305800	PF3D7_1305800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1305800
PF3D7_1305900	PF3D7_1305900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1305900
PF3D7_1306000	PF3D7_1306000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1306000
PF3D7_1306100	PF3D7_1306100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1306100
PF3D7_1306200	PF3D7_1306200.1	conserved protein, unknown function	protein coding gene	PF3D7_1306200
PF3D7_1306300	PF3D7_1306300.1	SAM dependent methyltransferase, putative	protein coding gene	PF3D7_1306300
PF3D7_1306400	PF3D7_1306400.1	26S protease regulatory subunit 10B, putative	protein coding gene	PF3D7_1306400
PF3D7_1306500	PF3D7_1306500.1	MORN repeat protein, putative	protein coding gene	PF3D7_1306500
PF3D7_1306600	PF3D7_1306600.1	V-type proton ATPase subunit H, putative	protein coding gene	PF3D7_1306600
PF3D7_1306700	PF3D7_1306700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1306700
PF3D7_1306800	PF3D7_1306800.1	RED-like protein, putative	protein coding gene	PF3D7_1306800
PF3D7_1306900	PF3D7_1306900.1	U1 small nuclear ribonucleoprotein A, putative	protein coding gene	PF3D7_1306900
PF3D7_1307000	PF3D7_1307000.1	exosome complex component RRP40, putative	protein coding gene	PF3D7_1307000
PF3D7_1307100	PF3D7_1307100.1	U3 small nucleolar RNA-associated protein 6, putative	protein coding gene	PF3D7_1307100
PF3D7_1307200	PF3D7_1307200.1	DnaJ protein, putative	protein coding gene	PF3D7_1307200
PF3D7_1307300	PF3D7_1307300.1	ATP-dependent RNA helicase DBP6, putative	protein coding gene	PF3D7_1307300
PF3D7_1307400	PF3D7_1307400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1307400
PF3D7_1307500	PF3D7_1307500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1307500
PF3D7_1307600	PF3D7_1307600.1	DNA-directed RNA polymerase subunit alpha, putative	protein coding gene	PF3D7_1307600
PF3D7_1307700	PF3D7_1307700.1	TOM1-like protein, putative	protein coding gene	PF3D7_1307700
PF3D7_1307800	PF3D7_1307800.1	centrosomal protein CEP170, putative	protein coding gene	PF3D7_1307800
PF3D7_1307900	PF3D7_1307900.1	tripartite motif protein, putative	protein coding gene	PF3D7_1307900
PF3D7_1308000	PF3D7_1308000.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_1308000
PF3D7_1308100	PF3D7_1308100.1	CCAAT-binding transcription factor, putative	protein coding gene	PF3D7_1308100
PF3D7_1308200	PF3D7_1308200.1	carbamoyl phosphate synthetase	protein coding gene	PF3D7_1308200
PF3D7_1308300	PF3D7_1308300.1	40S ribosomal protein S27	protein coding gene	PF3D7_1308300
PF3D7_1308400	PF3D7_1308400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1308400
PF3D7_1308500	PF3D7_1308500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1308500
PF3D7_1308600	PF3D7_1308600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1308600
PF3D7_1308700	PF3D7_1308700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1308700
PF3D7_1308800	PF3D7_1308800.1	tyrosine recombinase	protein coding gene	PF3D7_1308800
PF3D7_1308900	PF3D7_1308900.1	mRNA-decapping enzyme 2, putative	protein coding gene	PF3D7_1308900
PF3D7_1309000	PF3D7_1309000.1	conserved protein, unknown function	protein coding gene	PF3D7_1309000
PF3D7_1309100	PF3D7_1309100.1	60S ribosomal protein L24, putative	protein coding gene	PF3D7_1309100
PF3D7_1309120	PF3D7_1309120.1	non-coding RNA	ncRNA gene	PF3D7_1309120
PF3D7_1309200	PF3D7_1309200.1	protein phosphatase PPM6, putative	protein coding gene	PF3D7_1309200
PF3D7_1309300	PF3D7_1309300.1	U4/U6 small nuclear ribonucleoprotein PRP3, putative	protein coding gene	PF3D7_1309300
PF3D7_1309400	PF3D7_1309400.1	HORMA domain protein, putative	protein coding gene	PF3D7_1309400
PF3D7_1309500	PF3D7_1309500.1	H/ACA ribonucleoprotein complex subunit 1, putative	protein coding gene	PF3D7_1309500
PF3D7_1309600	PF3D7_1309600.1	ribosomal RNA methyltransferase, putative	protein coding gene	PF3D7_1309600
PF3D7_1309700	PF3D7_1309700.1	vacuolar protein sorting-associated protein 18, putative	protein coding gene	PF3D7_1309700
PF3D7_1309800	PF3D7_1309800.1	homeobox domain-containing protein, putative	protein coding gene	PF3D7_1309800
PF3D7_1309900	PF3D7_1309900.1	succinate dehydrogenase assembly factor 2, putative	protein coding gene	PF3D7_1309900
PF3D7_1310000	PF3D7_1310000.1	ATP synthase subunit O, mitochondrial, putative	protein coding gene	PF3D7_1310000
PF3D7_1310100	PF3D7_1310100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1310100
PF3D7_1310200	PF3D7_1310200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1310200
PF3D7_1310300	PF3D7_1310300.1	zinc finger protein, putative	protein coding gene	PF3D7_1310300
PF3D7_1310400	PF3D7_1310400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1310400
PF3D7_1310500	PF3D7_1310500.1	ER membrane protein complex subunit 7, putative	protein coding gene	PF3D7_1310500
PF3D7_1310600	PF3D7_1310600.1	ras-related protein Rab-5B	protein coding gene	PF3D7_1310600
PF3D7_1310700	PF3D7_1310700.1	PhIL1-interacting candidate PIC5	protein coding gene	PF3D7_1310700
PF3D7_1310800	PF3D7_1310800.1	tetratricopeptide repeat protein, putative	protein coding gene	PF3D7_1310800
PF3D7_1310900	PF3D7_1310900.1	ribosomal protein S15, mitochondrial, putative	protein coding gene	PF3D7_1310900
PF3D7_1311000	PF3D7_1311000.1	protein ISD11	protein coding gene	PF3D7_1311000
PF3D7_1311100	PF3D7_1311100.1	meiosis-specific nuclear structural protein 1, putative	protein coding gene	PF3D7_1311100
PF3D7_1311200	PF3D7_1311200.1	transducin beta-like protein TBL1, putative	protein coding gene	PF3D7_1311200
PF3D7_1311300	PF3D7_1311300.1	ATP synthase subunit gamma, mitochondrial	protein coding gene	PF3D7_1311300
PF3D7_1311400	PF3D7_1311400.1	AP-1 complex subunit mu-1	protein coding gene	PF3D7_1311400
PF3D7_1311500	PF3D7_1311500.1	26S protease regulatory subunit 7, putative	protein coding gene	PF3D7_1311500
PF3D7_1311600	PF3D7_1311600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1311600
PF3D7_1311700	PF3D7_1311700.1	cytochrome c, putative	protein coding gene	PF3D7_1311700
PF3D7_1311800	PF3D7_1311800.1	M1-family alanyl aminopeptidase	protein coding gene	PF3D7_1311800
PF3D7_1311900	PF3D7_1311900.1	V-type proton ATPase catalytic subunit A	protein coding gene	PF3D7_1311900
PF3D7_1312000	PF3D7_1312000.1	malonyl CoA-acyl carrier protein transacylase	protein coding gene	PF3D7_1312000
PF3D7_1312100	PF3D7_1312100.1	GYF domain-containing protein, putative	protein coding gene	PF3D7_1312100
PF3D7_1312200	PF3D7_1312200.1	conserved protein, unknown function	protein coding gene	PF3D7_1312200
PF3D7_1312300	PF3D7_1312300.1	ribosomal protein S35, mitochondrial, putative	protein coding gene	PF3D7_1312300
PF3D7_1312400	PF3D7_1312400.1	translation initiation factor IF-2, putative	protein coding gene	PF3D7_1312400
PF3D7_1312450	PF3D7_1312450.1	apical ring associated protein 1, putative	protein coding gene	PF3D7_1312450
PF3D7_1312500	PF3D7_1312500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1312500
PF3D7_1312600	PF3D7_1312600.1	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial, putative	protein coding gene	PF3D7_1312600
PF3D7_1312700	PF3D7_1312700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1312700
PF3D7_1312800	PF3D7_1312800.1	protein AAP2	protein coding gene	PF3D7_1312800
PF3D7_1312900	PF3D7_1312900.1	eukaryotic translation initation factor 4 gamma	protein coding gene	PF3D7_1312900
PF3D7_1313000	PF3D7_1313000.1	ubiquitin-like protein Nedd8	protein coding gene	PF3D7_1313000
PF3D7_1313100	PF3D7_1313100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1313100
PF3D7_1313200	PF3D7_1313200.1	methionyl-tRNA formyltransferase, putative	protein coding gene	PF3D7_1313200
PF3D7_1313300	PF3D7_1313300.1	peptidyl-prolyl cis-trans isomerase, putative	protein coding gene	PF3D7_1313300
PF3D7_1313400	PF3D7_1313400.1	DEAD box helicase, putative	protein coding gene	PF3D7_1313400
PF3D7_1313500	PF3D7_1313500.1	TMEM238 domain-containing protein, putative	protein coding gene	PF3D7_1313500
PF3D7_1313600	PF3D7_1313600.1	Clu domain-containing protein, putative	protein coding gene	PF3D7_1313600
PF3D7_1313700	PF3D7_1313700.1	Maf-like protein, putative	protein coding gene	PF3D7_1313700
PF3D7_1313800	PF3D7_1313800.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_1313800
PF3D7_1313900	PF3D7_1313900.1	ankyrin-repeat protein, putative	protein coding gene	PF3D7_1313900
PF3D7_1314000	PF3D7_1314000.1	conserved protein, unknown function	protein coding gene	PF3D7_1314000
PF3D7_1314100	PF3D7_1314100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1314100
PF3D7_1314200	PF3D7_1314200.1	telomerase reverse transcriptase	protein coding gene	PF3D7_1314200
PF3D7_1314300	PF3D7_1314300.1	MACRO domain-containing protein, putative	protein coding gene	PF3D7_1314300
PF3D7_1314400	PF3D7_1314400.1	conserved protein, unknown function	protein coding gene	PF3D7_1314400
PF3D7_1314500	PF3D7_1314500.1	transmembrane emp24 domain-containing protein, putative	protein coding gene	PF3D7_1314500
PF3D7_1314600	PF3D7_1314600.1	lipoate-protein ligase 1	protein coding gene	PF3D7_1314600
PF3D7_1314700	PF3D7_1314700.1	pinin/SDK/MemA domain-containing protein, putative	protein coding gene	PF3D7_1314700
PF3D7_1314800	PF3D7_1314800.1	ubiquitin-like protein, putative	protein coding gene	PF3D7_1314800
PF3D7_1314900	PF3D7_1314900.1	general transcription factor IIH subunit 2	protein coding gene	PF3D7_1314900
PF3D7_1315000	PF3D7_1315000.1	conserved protein, unknown function	protein coding gene	PF3D7_1315000
PF3D7_1315100	PF3D7_1315100.1	serine/threonine protein kinase PK9	protein coding gene	PF3D7_1315100
PF3D7_1315200	PF3D7_1315200.1	heptatricopeptide repeat-containing protein, putative	protein coding gene	PF3D7_1315200
PF3D7_1315300	PF3D7_1315300.1	conserved protein, unknown function	protein coding gene	PF3D7_1315300
PF3D7_1315400	PF3D7_1315400.1	zinc finger (CCCH type) protein, putative	protein coding gene	PF3D7_1315400
PF3D7_1315500	PF3D7_1315500.1	conserved protein, unknown function	protein coding gene	PF3D7_1315500
PF3D7_1315600	PF3D7_1315600.1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	protein coding gene	PF3D7_1315600
PF3D7_1315700	PF3D7_1315700.1	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, putative	protein coding gene	PF3D7_1315700
PF3D7_1315800	PF3D7_1315800.1	transcription factor MYB1	protein coding gene	PF3D7_1315800
PF3D7_1315900	PF3D7_1315900.1	exportin-T, putative	protein coding gene	PF3D7_1315900
PF3D7_1316000	PF3D7_1316000.1	glycogen synthase kinase-3 alpha, putative	protein coding gene	PF3D7_1316000
PF3D7_1316100	PF3D7_1316100.1	inositol polyphosphate kinase, putative	protein coding gene	PF3D7_1316100
PF3D7_1316200	PF3D7_1316200.1	ADP-ribosylation factor, putative	protein coding gene	PF3D7_1316200
PF3D7_1316300	PF3D7_1316300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1316300
PF3D7_1316400	PF3D7_1316400.1	SAS6-like protein, putative	protein coding gene	PF3D7_1316400
PF3D7_1316500	PF3D7_1316500.1	pre-mRNA-processing factor 40, putative	protein coding gene	PF3D7_1316500
PF3D7_1316600	PF3D7_1316600.1	choline-phosphate cytidylyltransferase	protein coding gene	PF3D7_1316600
PF3D7_1316700	PF3D7_1316700.1	conserved protein, unknown function	protein coding gene	PF3D7_1316700
PF3D7_1316800	PF3D7_1316800.1	protein transport protein SEC20, putative	protein coding gene	PF3D7_1316800
PF3D7_1316900	PF3D7_1316900.1	conserved protein, unknown function	protein coding gene	PF3D7_1316900
PF3D7_1317000	PF3D7_1317000.1	U4/U6.U5 tri-snRNP-associated protein 2, putative	protein coding gene	PF3D7_1317000
PF3D7_1317100	PF3D7_1317100.1	DNA replication licensing factor MCM4	protein coding gene	PF3D7_1317100
PF3D7_1317200	PF3D7_1317200.1	AP2 domain transcription factor AP2-FG, putative	protein coding gene	PF3D7_1317200
PF3D7_1317300	PF3D7_1317300.1	RNA-binding protein, putative	protein coding gene	PF3D7_1317300
PF3D7_1317400	PF3D7_1317400.1	zinc finger protein, putative	protein coding gene	PF3D7_1317400
PF3D7_1317500	PF3D7_1317500.1	conserved protein, unknown function	protein coding gene	PF3D7_1317500
PF3D7_1317600	PF3D7_1317600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1317600
PF3D7_1317700	PF3D7_1317700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1317700
PF3D7_1317800	PF3D7_1317800.1	40S ribosomal protein S19	protein coding gene	PF3D7_1317800
PF3D7_1317900	PF3D7_1317900.1	nucleolar complex protein 4, putative	protein coding gene	PF3D7_1317900
PF3D7_1318000	PF3D7_1318000.1	conserved protein, unknown function	protein coding gene	PF3D7_1318000
PF3D7_1318100	PF3D7_1318100.1	ferredoxin	protein coding gene	PF3D7_1318100
PF3D7_1318200	PF3D7_1318200.1	glycerol-3-phosphate 1-O-acyltransferase	protein coding gene	PF3D7_1318200
PF3D7_1318300	PF3D7_1318300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1318300
PF3D7_1318400	PF3D7_1318400.1	structural maintenance of chromosomes protein 2, putative	protein coding gene	PF3D7_1318400
PF3D7_1318500	PF3D7_1318500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1318500
PF3D7_1318600	PF3D7_1318600.1	thioredoxin, putative	protein coding gene	PF3D7_1318600
PF3D7_1318700	PF3D7_1318700.1	protein AAP4	protein coding gene	PF3D7_1318700
